,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
267,222,Galarian Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Coral Pokémon,1,Ghost,,0.6,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,2,Water 1,Water 3,,20,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
268,223,Remoraid,Remoraid,テッポウオ (Teppouo),2,Normal,Jet Pokémon,1,Water,,0.6,12,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,60,Medium Fast,2,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
269,224,Octillery,Octillery,オクタン (Okutank),2,Normal,Jet Pokémon,1,Water,,0.9,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,70,168,Medium Fast,2,Water 1,Water 2,50,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
270,225,Delibird,Botogel,デリバード (Delibird),2,Normal,Delivery Pokémon,2,Ice,Flying,0.9,16,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,70,116,Fast,2,Field,Water 1,50,20,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
271,226,Mantine,Mantax,マンタイン (Mantain),2,Normal,Kite Pokémon,2,Water,Flying,2.1,220,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,70,170,Slow,1,Water 1,,50,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
272,227,Skarmory,Panzaeron,エアームド (Airmd),2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,70,163,Slow,1,Flying,,50,25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
273,228,Houndour,Hunduster,デルビル (Delvil),2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,66,Slow,1,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
274,229,Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,175,Slow,1,Field,,50,20,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
275,229,Mega Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45,35,210,Slow,1,Field,,50,20,1,0,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
276,230,Kingdra,Seedraking,キングドラ (Kingdra),2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,70,243,Medium Fast,2,Dragon,Water 1,50,20,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
277,231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,70,66,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
278,232,Donphan,Donphan,ドンファン (Donfan),2,Normal,Armor Pokémon,1,Ground,,1.1,120,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,70,175,Medium Fast,1,Field,,50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
279,233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,Normal,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45,70,180,Medium Fast,1,Mineral,,,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
280,234,Stantler,Damhirplex,オドシシ (Odoshishi),2,Normal,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,70,163,Slow,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
281,235,Smeargle,Farbeagle,ドーブル (Doble),2,Normal,Painter Pokémon,1,Normal,,1.2,58,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,70,88,Fast,1,Field,,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
282,236,Tyrogue,Rabauz,バルキー (Balkie),2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,70,42,Medium Fast,1,Undiscovered,,100,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
283,237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,Normal,Handstand Pokémon,1,Fighting,,1.4,48,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,70,159,Medium Fast,1,Human-Like,,100,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
284,238,Smoochum,Kussilla,ムチュール (Muchul),2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45,70,61,Medium Fast,1,Undiscovered,,0,25,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
285,239,Elekid,Elekid,エレキッド (Elekid),2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45,70,72,Medium Fast,1,Undiscovered,,75,25,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
286,240,Magby,Magby,ブビィ (Buby),2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45,70,73,Medium Fast,1,Undiscovered,,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
287,241,Miltank,Miltank,ミルタンク (Miltank),2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45,70,172,Slow,1,Field,,0,20,1,0.5,1,1,1,0.5,2,1,1,1,1,1,1,0,1,1,1,1
288,242,Blissey,Heiteira,ハピナス (Happinas),2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30,140,608,Fast,1,Fairy,,0,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
289,243,Raikou,Raikou,ライコウ (Raikou),2,Sub Legendary,Thunder Pokémon,1,Electric,,1.9,178,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,3,35,261,Slow,1,Undiscovered,,,80,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
290,244,Entei,Entei,エンテイ (Entei),2,Sub Legendary,Volcano Pokémon,1,Fire,,2.1,198,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,3,35,261,Slow,1,Undiscovered,,,80,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
291,245,Suicune,Suicune,スイクン (Suicune),2,Sub Legendary,Aurora Pokémon,1,Water,,2,187,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,3,35,261,Slow,1,Undiscovered,,,80,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
292,246,Larvitar,Larvitar,ヨーギラス (Yogiras),2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45,35,60,Slow,1,Monster,,50,40,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
293,247,Pupitar,Pupitar,サナギラス (Sanagiras),2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152,1,Shed Skin,,,410,70,84,70,65,70,51,45,35,144,Slow,1,Monster,,50,40,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
294,248,Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,2,Rock,Dark,2,202,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45,35,270,Slow,1,Monster,,50,40,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
295,248,Mega Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255,1,Sand Stream,,,700,100,164,150,95,120,71,45,35,315,Slow,1,Monster,,50,40,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
296,249,Lugia,Lugia,ルギア (Lugia),2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216,2,Pressure,,Multiscale,680,106,90,130,90,154,110,3,0,306,Slow,1,Undiscovered,,,120,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
297,250,Ho-oh,Ho-Oh,ホウオウ (Houou),2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199,2,Pressure,,Regenerator,680,106,130,90,110,154,90,3,0,306,Slow,1,Undiscovered,,,120,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
298,251,Celebi,Celebi,セレビィ (Celebi),2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5,1,Natural Cure,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
299,252,Treecko,Geckarbor,キモリ (Kimori),3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5,2,Overgrow,,Unburden,310,40,45,35,65,55,70,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
300,253,Grovyle,Reptain,ジュプトル (Juptile),3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
301,254,Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,45,70,239,Medium Slow,2,Dragon,Monster,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
302,254,Mega Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,85,145,45,70,284,Medium Slow,2,Dragon,Monster,87.5,20,1,1,0.25,0,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
303,255,Torchic,Flemmli,アチャモ (Achamo),3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
304,256,Combusken,Jungglut,ワカシャモ (Wakasyamo),3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,45,70,142,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
305,257,Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,45,70,239,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
306,257,Mega Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52,1,Speed Boost,,,630,80,160,80,130,80,100,45,70,284,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
307,258,Mudkip,Hydropi,ミズゴロウ (Mizugorou),3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,45,70,62,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
308,259,Marshtomp,Moorabbel,ヌマクロー (Numacraw),3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28,2,Torrent,,Damp,405,70,85,70,60,70,50,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
309,260,Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,45,70,241,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
310,260,Mega Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102,1,Swift Swim,,,635,100,150,110,95,110,70,45,70,286,Medium Slow,2,Monster,Water 1,87.5,20,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
311,261,Poochyena,Fiffyen,ポチエナ (Pochiena),3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255,70,56,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
312,262,Mightyena,Magnayen,グラエナ (Graena),3,Normal,Bite Pokémon,1,Dark,,1,37,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127,70,147,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
313,263,Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,70,56,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
314,263,Galarian Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,,,,Medium Fast,1,Field,,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
315,264,Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,70,147,Medium Fast,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
316,264,Galarian Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,,,,Medium Fast,1,Field,,,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
317,265,Wurmple,Waumpel,ケムッソ (Kemusso),3,Normal,Worm Pokémon,1,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,30,20,255,70,56,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
318,266,Silcoon,Schaloko,カラサリス (Karasalis),3,Normal,Cocoon Pokémon,1,Bug,,0.6,10,1,Shed Skin,,,205,50,35,55,25,25,15,120,70,72,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
319,267,Beautifly,Papinella,アゲハント (Agehunt),3,Normal,Butterfly Pokémon,2,Bug,Flying,1,28.4,2,Swarm,,Rivalry,395,60,70,50,100,50,65,45,70,178,Medium Fast,1,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
320,268,Cascoon,Panekon,マユルド (Mayuld),3,Normal,Cocoon Pokémon,1,Bug,,0.7,11.5,1,Shed Skin,,,205,50,35,55,25,25,15,120,70,72,Medium Fast,1,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
321,269,Dustox,Pudox,ドクケイル (Dokucale),3,Normal,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,2,Shield Dust,,Compound Eyes,385,60,50,70,50,90,65,45,70,173,Medium Fast,1,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
322,270,Lotad,Loturzel,ハスボー (Hassboh),3,Normal,Water Weed Pokémon,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,255,70,44,Medium Slow,2,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
323,271,Lombre,Lombrero,ハスブレロ (Hasubrero),3,Normal,Jolly Pokémon,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,120,70,119,Medium Slow,2,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
324,272,Ludicolo,Kappalores,ルンパッパ (Runpappa),3,Normal,Carefree Pokémon,2,Water,Grass,1.5,55,3,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,45,70,216,Medium Slow,2,Grass,Water 1,50,15,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
325,273,Seedot,Samurzel,タネボー (Taneboh),3,Normal,Acorn Pokémon,1,Grass,,0.5,4,3,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,255,70,44,Medium Slow,2,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
326,274,Nuzleaf,Blanas,コノハナ (Konohana),3,Normal,Wily Pokémon,2,Grass,Dark,1,28,3,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,120,70,119,Medium Slow,2,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
327,275,Shiftry,Tengulist,ダーテング (Dirteng),3,Normal,Wicked Pokémon,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,45,70,216,Medium Slow,2,Field,Grass,50,15,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
328,276,Taillow,Schwalbini,スバメ (Subame),3,Normal,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,2,Guts,,Scrappy,270,40,55,30,30,30,85,200,70,54,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
329,277,Swellow,Schwalboss,オオスバメ (Ohsubame),3,Normal,Swallow Pokémon,2,Normal,Flying,0.7,19.8,2,Guts,,Scrappy,455,60,85,60,75,50,125,45,70,159,Medium Slow,1,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
330,278,Wingull,Wingull,キャモメ (Camome),3,Normal,Seagull Pokémon,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,190,70,54,Medium Fast,2,Flying,Water 1,50,20,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
331,279,Pelipper,Pelipper,ペリッパー (Pelipper),3,Normal,Water Bird Pokémon,2,Water,Flying,1.2,28,3,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,45,70,154,Medium Fast,2,Flying,Water 1,50,20,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
332,280,Ralts,Trasla,ラルトス (Ralts),3,Normal,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,235,35,40,Slow,2,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
333,281,Kirlia,Kirlia,キルリア (Kirlia),3,Normal,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,120,35,97,Slow,2,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
334,282,Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,45,35,233,Slow,2,Amorphous,Human-Like,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
335,282,Mega Gardevoir,Guardevoir,サーナイト (Sirnight),3,Normal,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,1,Pixilate,,,618,68,85,65,165,135,100,45,35,278,Slow,1,Amorphous,,50,20,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
336,283,Surskit,Gehweiher,アメタマ (Ametama),3,Normal,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,2,Swift Swim,,Rain Dish,269,40,30,32,50,52,65,200,70,54,Medium Fast,2,Bug,Water 1,50,15,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
337,284,Masquerain,Maskeregen,アメモース (Amemoth),3,Normal,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,2,Intimidate,,Unnerve,454,70,60,62,100,82,80,75,70,159,Medium Fast,2,Bug,Water 1,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
338,285,Shroomish,Knilz,キノココ (Kinococo),3,Normal,Mushroom Pokémon,1,Grass,,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,255,70,59,Fluctuating,2,Fairy,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
339,286,Breloom,Kapilz,キノガッサ (Kinogassa),3,Normal,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,90,70,161,Fluctuating,2,Fairy,Grass,50,15,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
340,287,Slakoth,Bummelz,ナマケロ (Namakero),3,Normal,Slacker Pokémon,1,Normal,,0.8,24,1,Truant,,,280,60,60,60,35,35,30,255,70,56,Slow,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
341,288,Vigoroth,Muntier,ヤルキモノ (Yarukimono),3,Normal,Wild Monkey Pokémon,1,Normal,,1.4,46.5,1,Vital Spirit,,,440,80,80,80,55,55,90,120,70,154,Slow,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
342,289,Slaking,Letarking,ケッキング (Kekking),3,Normal,Lazy Pokémon,1,Normal,,2,130.5,1,Truant,,,670,150,160,100,95,65,100,45,70,252,Slow,1,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
343,290,Nincada,Nincada,ツチニン (Tutinin),3,Normal,Trainee Pokémon,2,Bug,Ground,0.5,5.5,2,Compound Eyes,,Run Away,266,31,45,90,30,30,40,255,70,53,Erratic,1,Bug,,50,15,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1
344,291,Ninjask,Ninjask,テッカニン (Tekkanin),3,Normal,Ninja Pokémon,2,Bug,Flying,0.8,12,2,Speed Boost,,Infiltrator,456,61,90,45,50,50,160,120,70,160,Erratic,1,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
345,292,Shedinja,Ninjatom,ヌケニン (Nukenin),3,Normal,Shed Pokémon,2,Bug,Ghost,0.8,1.2,1,Wonder Guard,,,236,1,90,45,30,30,40,45,70,83,Erratic,1,Mineral,,,15,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0
346,293,Whismur,Flurmel,ゴニョニョ (Gonyonyo),3,Normal,Whisper Pokémon,1,Normal,,0.6,16.3,2,Soundproof,,Rattled,240,64,51,23,51,23,28,190,70,48,Medium Slow,2,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
347,294,Loudred,Krakeelo,ドゴーム (Dogohmb),3,Normal,Big Voice Pokémon,1,Normal,,1,40.5,2,Soundproof,,Scrappy,360,84,71,43,71,43,48,120,70,126,Medium Slow,2,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
348,295,Exploud,Krawumms,バクオング (Bakuong),3,Normal,Loud Noise Pokémon,1,Normal,,1.5,84,2,Soundproof,,Scrappy,490,104,91,63,91,73,68,45,70,221,Medium Slow,2,Field,Monster,50,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
349,296,Makuhita,Makuhita,マクノシタ (Makunoshita),3,Normal,Guts Pokémon,1,Fighting,,1,86.4,3,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25,180,70,47,Fluctuating,1,Human-Like,,75,20,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
350,297,Hariyama,Hariyama,ハリテヤマ (Hariteyama),3,Normal,Arm Thrust Pokémon,1,Fighting,,2.3,253.8,3,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50,200,70,166,Fluctuating,1,Human-Like,,75,20,1,0.5,1,1,1,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
351,298,Azurill,Azurill,ルリリ (Ruriri),3,Normal,Polka Dot Pokémon,2,Normal,Fairy,0.2,2,3,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20,150,70,38,Fast,1,Undiscovered,,25,10,1,0.5,1,1,1,0.5,1,2,1,1,1,0.5,1,0,0,0.5,2,1
352,299,Nosepass,Nasgnet,ノズパス (Nosepass),3,Normal,Compass Pokémon,1,Rock,,1,97,3,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30,255,70,75,Medium Fast,1,Mineral,,50,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
